date,timechuo,open,high,low,close,vol
2020-05-20 17:28,1589966880,9772.08,9772.4,9765.84,9769.12,28.050123
2020-05-20 17:29,1589966940,9769.13,9772.0,9769.04,9772.0,29.483783
2020-05-20 17:30,1589967000,9772.0,9774.15,9763.85,9764.88,22.762799
2020-05-20 17:31,1589967060,9764.87,9764.87,9750.89,9756.0,53.546719
2020-05-20 17:32,1589967120,9756.0,9763.67,9755.99,9761.32,33.828151
2020-05-20 17:33,1589967180,9761.32,9763.89,9758.83,9761.44,34.131344
2020-05-20 17:34,1589967240,9761.18,9764.11,9757.25,9762.55,27.484984
2020-05-20 17:35,1589967300,9762.59,9762.6,9760.0,9762.6,27.244487
2020-05-20 17:36,1589967360,9762.6,9765.0,9758.97,9762.05,22.215477
2020-05-20 17:37,1589967420,9761.65,9767.31,9760.19,9761.31,34.446401
2020-05-20 17:38,1589967480,9761.33,9761.4,9746.5,9753.97,63.176593
2020-05-20 17:39,1589967540,9754.62,9761.42,9753.96,9759.37,15.355148
2020-05-20 17:40,1589967600,9759.38,9762.42,9759.37,9762.0,10.259373
2020-05-20 17:41,1589967660,9762.0,9767.83,9759.84,9765.23,28.934432
2020-05-20 17:42,1589967720,9765.51,9770.0,9765.13,9770.0,13.169687
2020-05-20 17:43,1589967780,9768.6,9769.63,9759.0,9763.02,19.698542
2020-05-20 17:44,1589967840,9763.02,9769.57,9761.71,9766.99,9.898594
2020-05-20 17:45,1589967900,9766.99,9771.0,9766.99,9769.51,21.317765
2020-05-20 17:46,1589967960,9769.51,9769.51,9763.79,9765.85,24.066261
2020-05-20 17:47,1589968020,9765.84,9771.0,9765.01,9769.99,21.238993
2020-05-20 17:48,1589968080,9770.0,9770.0,9765.56,9766.03,20.636021
2020-05-20 17:49,1589968140,9767.2,9767.2,9756.27,9760.86,23.495679
2020-05-20 17:50,1589968200,9760.86,9764.79,9759.24,9759.5,12.290421
2020-05-20 17:51,1589968260,9759.51,9765.0,9759.51,9763.82,12.006397
2020-05-20 17:52,1589968320,9764.25,9787.72,9764.25,9781.84,78.507438
2020-05-20 17:53,1589968380,9782.15,9791.89,9781.85,9789.53,55.782654
2020-05-20 17:54,1589968440,9790.15,9790.58,9784.36,9788.32,26.286437
2020-05-20 17:55,1589968500,9788.31,9798.61,9786.56,9792.55,53.29649
2020-05-20 17:56,1589968560,9792.55,9794.93,9788.01,9791.95,43.313012
2020-05-20 17:57,1589968620,9791.95,9795.49,9791.87,9792.11,76.585659
2020-05-20 17:58,1589968680,9792.1,9792.35,9783.46,9789.99,75.908862
2020-05-20 17:59,1589968740,9789.99,9792.43,9786.24,9788.27,25.899535
2020-05-20 18:00,1589968800,9788.27,9810.0,9787.8,9796.63,248.080674
2020-05-20 18:01,1589968860,9797.37,9800.99,9783.46,9789.84,105.534183
2020-05-20 18:02,1589968920,9789.84,9789.84,9778.8,9778.92,60.896227
2020-05-20 18:03,1589968980,9778.93,9781.66,9767.01,9776.84,60.271635
2020-05-20 18:04,1589969040,9777.3,9783.72,9776.0,9776.95,59.922059
2020-05-20 18:05,1589969100,9776.95,9777.14,9771.39,9773.01,29.863808
2020-05-20 18:06,1589969160,9773.01,9779.99,9772.57,9775.17,41.581468
2020-05-20 18:07,1589969220,9775.17,9782.15,9774.51,9778.61,27.817104
2020-05-20 18:08,1589969280,9778.75,9782.1,9778.45,9779.9,11.91536
2020-05-20 18:09,1589969340,9779.9,9782.62,9775.0,9775.0,40.086427
2020-05-20 18:10,1589969400,9775.62,9775.62,9772.53,9773.38,16.85306
2020-05-20 18:11,1589969460,9773.38,9777.69,9770.36,9776.7,25.762129
2020-05-20 18:12,1589969520,9776.7,9777.7,9770.0,9774.49,26.811133
2020-05-20 18:13,1589969580,9774.6,9783.39,9769.91,9782.83,32.506865
2020-05-20 18:14,1589969640,9782.79,9783.77,9777.01,9781.89,16.47758
2020-05-20 18:15,1589969700,9781.88,9783.02,9778.46,9778.98,19.620055
2020-05-20 18:16,1589969760,9779.43,9780.6,9778.06,9778.39,16.669431
2020-05-20 18:17,1589969820,9778.39,9778.4,9746.98,9746.98,173.989232
2020-05-20 18:18,1589969880,9747.08,9749.99,9726.41,9748.74,149.388705
2020-05-20 18:19,1589969940,9748.62,9749.91,9730.0,9739.13,94.140837
2020-05-20 18:20,1589970000,9739.24,9748.02,9735.61,9743.07,100.235804
2020-05-20 18:21,1589970060,9743.04,9759.52,9740.76,9745.33,47.703446
2020-05-20 18:22,1589970120,9745.74,9755.02,9744.36,9753.94,25.683207
2020-05-20 18:23,1589970180,9754.02,9756.05,9750.1,9755.0,19.045158
2020-05-20 18:24,1589970240,9754.99,9758.3,9752.73,9753.58,26.587397
2020-05-20 18:25,1589970300,9753.58,9757.24,9753.05,9753.55,14.082055
2020-05-20 18:26,1589970360,9753.55,9764.84,9753.55,9759.98,25.425479
2020-05-20 18:27,1589970420,9759.98,9760.0,9751.89,9753.55,22.107741
